eventname	subjectkey	site_id_l
baseline_year_1_arm_1	NDAR_INV000082	site02
baseline_year_1_arm_1	NDAR_INV000083	site01
baseline_year_1_arm_1	NDAR_INV000084	site01
baseline_year_1_arm_1	NDAR_INV000085	site03
baseline_year_1_arm_1	NDAR_INV000086	site01
baseline_year_1_arm_1	NDAR_INV000087	site01
baseline_year_1_arm_1	NDAR_INV000088	site01
baseline_year_1_arm_1	NDAR_INV000089	site03
baseline_year_1_arm_1	NDAR_INV000090	site01
baseline_year_1_arm_1	NDAR_INV000091	site03
baseline_year_1_arm_1	NDAR_INV000092	site02
baseline_year_1_arm_1	NDAR_INV000093	site03
baseline_year_1_arm_1	NDAR_INV000094	site03
baseline_year_1_arm_1	NDAR_INV000095	site03
baseline_year_1_arm_1	NDAR_INV000096	site01
baseline_year_1_arm_1	NDAR_INV000097	site01
baseline_year_1_arm_1	NDAR_INV000098	site03
baseline_year_1_arm_1	NDAR_INV000099	site01
baseline_year_1_arm_1	NDAR_INV000100	site02
baseline_year_1_arm_1	NDAR_INV000101	site03
baseline_year_1_arm_1	NDAR_INV000102	site03
baseline_year_1_arm_1	NDAR_INV000103	site02
baseline_year_1_arm_1	NDAR_INV000104	site03
baseline_year_1_arm_1	NDAR_INV000105	site03
baseline_year_1_arm_1	NDAR_INV000106	site01
baseline_year_1_arm_1	NDAR_INV000107	site03
baseline_year_1_arm_1	NDAR_INV000108	site01
baseline_year_1_arm_1	NDAR_INV000109	site01
baseline_year_1_arm_1	NDAR_INV000110	site02
baseline_year_1_arm_1	NDAR_INV000111	site01
baseline_year_1_arm_1	NDAR_INV000112	site03
baseline_year_1_arm_1	NDAR_INV000113	site02
baseline_year_1_arm_1	NDAR_INV000114	site03
baseline_year_1_arm_1	NDAR_INV000115	site02
baseline_year_1_arm_1	NDAR_INV000116	site02
baseline_year_1_arm_1	NDAR_INV000117	site03
baseline_year_1_arm_1	NDAR_INV000118	site01
baseline_year_1_arm_1	NDAR_INV000119	site02
baseline_year_1_arm_1	NDAR_INV000120	site02
baseline_year_1_arm_1	NDAR_INV000121	site01
baseline_year_1_arm_1	NDAR_INV000122	site02
baseline_year_1_arm_1	NDAR_INV000123	site02
baseline_year_1_arm_1	NDAR_INV000124	site02
baseline_year_1_arm_1	NDAR_INV000125	site03
baseline_year_1_arm_1	NDAR_INV000126	site01
baseline_year_1_arm_1	NDAR_INV000127	site01
baseline_year_1_arm_1	NDAR_INV000128	site01
baseline_year_1_arm_1	NDAR_INV000129	site03
baseline_year_1_arm_1	NDAR_INV000130	site03
baseline_year_1_arm_1	NDAR_INV000131	site03
baseline_year_1_arm_1	NDAR_INV000132	site03
baseline_year_1_arm_1	NDAR_INV000133	site01
baseline_year_1_arm_1	NDAR_INV000134	site01
baseline_year_1_arm_1	NDAR_INV000135	site03
baseline_year_1_arm_1	NDAR_INV000136	site03
baseline_year_1_arm_1	NDAR_INV000137	site02
baseline_year_1_arm_1	NDAR_INV000138	site01
baseline_year_1_arm_1	NDAR_INV000139	site01
baseline_year_1_arm_1	NDAR_INV000140	site01
baseline_year_1_arm_1	NDAR_INV000141	site02
baseline_year_1_arm_1	NDAR_INV000142	site03
baseline_year_1_arm_1	NDAR_INV000143	site02
baseline_year_1_arm_1	NDAR_INV000144	site02
baseline_year_1_arm_1	NDAR_INV000145	site01
baseline_year_1_arm_1	NDAR_INV000146	site03
baseline_year_1_arm_1	NDAR_INV000147	site02
baseline_year_1_arm_1	NDAR_INV000148	site03
baseline_year_1_arm_1	NDAR_INV000149	site03
baseline_year_1_arm_1	NDAR_INV000150	site03
baseline_year_1_arm_1	NDAR_INV000151	site01
baseline_year_1_arm_1	NDAR_INV000152	site01
baseline_year_1_arm_1	NDAR_INV000153	site01
baseline_year_1_arm_1	NDAR_INV000154	site02
baseline_year_1_arm_1	NDAR_INV000155	site03
baseline_year_1_arm_1	NDAR_INV000156	site01
baseline_year_1_arm_1	NDAR_INV000157	site02
baseline_year_1_arm_1	NDAR_INV000158	site02
baseline_year_1_arm_1	NDAR_INV000159	site02
baseline_year_1_arm_1	NDAR_INV000160	site02
baseline_year_1_arm_1	NDAR_INV000161	site01
baseline_year_1_arm_1	NDAR_INV000162	site03
baseline_year_1_arm_1	NDAR_INV000163	site02
baseline_year_1_arm_1	NDAR_INV000164	site01
baseline_year_1_arm_1	NDAR_INV000165	site02
baseline_year_1_arm_1	NDAR_INV000166	site03
baseline_year_1_arm_1	NDAR_INV000167	site03
baseline_year_1_arm_1	NDAR_INV000168	site01
baseline_year_1_arm_1	NDAR_INV000169	site03
baseline_year_1_arm_1	NDAR_INV000170	site02
baseline_year_1_arm_1	NDAR_INV000171	site02
baseline_year_1_arm_1	NDAR_INV000172	site03
baseline_year_1_arm_1	NDAR_INV000173	site03
baseline_year_1_arm_1	NDAR_INV000174	site02
baseline_year_1_arm_1	NDAR_INV000175	site03
baseline_year_1_arm_1	NDAR_INV000176	site01
baseline_year_1_arm_1	NDAR_INV000177	site01
baseline_year_1_arm_1	NDAR_INV000178	site02
baseline_year_1_arm_1	NDAR_INV000179	site02
baseline_year_1_arm_1	NDAR_INV000180	site03
baseline_year_1_arm_1	NDAR_INV000181	site03
baseline_year_1_arm_1	NDAR_INV000182	site03
baseline_year_1_arm_1	NDAR_INV000183	site03
baseline_year_1_arm_1	NDAR_INV000184	site01
baseline_year_1_arm_1	NDAR_INV000185	site01
baseline_year_1_arm_1	NDAR_INV000186	site01
baseline_year_1_arm_1	NDAR_INV000187	site02
baseline_year_1_arm_1	NDAR_INV000188	site01
baseline_year_1_arm_1	NDAR_INV000189	site03
baseline_year_1_arm_1	NDAR_INV000190	site02
baseline_year_1_arm_1	NDAR_INV000191	site01
baseline_year_1_arm_1	NDAR_INV000192	site01
baseline_year_1_arm_1	NDAR_INV000193	site01
baseline_year_1_arm_1	NDAR_INV000194	site01
baseline_year_1_arm_1	NDAR_INV000195	site01
baseline_year_1_arm_1	NDAR_INV000196	site03
baseline_year_1_arm_1	NDAR_INV000197	site03
baseline_year_1_arm_1	NDAR_INV000198	site01
baseline_year_1_arm_1	NDAR_INV000199	site02
baseline_year_1_arm_1	NDAR_INV000200	site01
baseline_year_1_arm_1	NDAR_INV000201	site01
baseline_year_1_arm_1	NDAR_INV000202	site01
baseline_year_1_arm_1	NDAR_INV000203	site01
baseline_year_1_arm_1	NDAR_INV000204	site03
baseline_year_1_arm_1	NDAR_INV000205	site03
baseline_year_1_arm_1	NDAR_INV000206	site02
baseline_year_1_arm_1	NDAR_INV000207	site02
baseline_year_1_arm_1	NDAR_INV000208	site01
baseline_year_1_arm_1	NDAR_INV000209	site01
baseline_year_1_arm_1	NDAR_INV000210	site01
baseline_year_1_arm_1	NDAR_INV000211	site01
baseline_year_1_arm_1	NDAR_INV000212	site02
baseline_year_1_arm_1	NDAR_INV000213	site02
baseline_year_1_arm_1	NDAR_INV000214	site01
baseline_year_1_arm_1	NDAR_INV000215	site03
baseline_year_1_arm_1	NDAR_INV000216	site01
baseline_year_1_arm_1	NDAR_INV000217	site01
baseline_year_1_arm_1	NDAR_INV000218	site02
baseline_year_1_arm_1	NDAR_INV000219	site03
baseline_year_1_arm_1	NDAR_INV000220	site02
baseline_year_1_arm_1	NDAR_INV000221	site02
baseline_year_1_arm_1	NDAR_INV000222	site01
baseline_year_1_arm_1	NDAR_INV000223	site03
baseline_year_1_arm_1	NDAR_INV000224	site03
baseline_year_1_arm_1	NDAR_INV000225	site01
baseline_year_1_arm_1	NDAR_INV000226	site01
baseline_year_1_arm_1	NDAR_INV000227	site03
baseline_year_1_arm_1	NDAR_INV000228	site01
baseline_year_1_arm_1	NDAR_INV000229	site01
baseline_year_1_arm_1	NDAR_INV000230	site03
baseline_year_1_arm_1	NDAR_INV000231	site01
baseline_year_1_arm_1	NDAR_INV000232	site02
baseline_year_1_arm_1	NDAR_INV000233	site03
baseline_year_1_arm_1	NDAR_INV000234	site01
baseline_year_1_arm_1	NDAR_INV000235	site01
baseline_year_1_arm_1	NDAR_INV000236	site02
baseline_year_1_arm_1	NDAR_INV000237	site03
baseline_year_1_arm_1	NDAR_INV000238	site02
baseline_year_1_arm_1	NDAR_INV000239	site03
baseline_year_1_arm_1	NDAR_INV000240	site01
baseline_year_1_arm_1	NDAR_INV000241	site01
baseline_year_1_arm_1	NDAR_INV000242	site02
baseline_year_1_arm_1	NDAR_INV000243	site02
baseline_year_1_arm_1	NDAR_INV000244	site03
baseline_year_1_arm_1	NDAR_INV000245	site01
baseline_year_1_arm_1	NDAR_INV000246	site03
baseline_year_1_arm_1	NDAR_INV000247	site02
baseline_year_1_arm_1	NDAR_INV000248	site03
baseline_year_1_arm_1	NDAR_INV000249	site01
baseline_year_1_arm_1	NDAR_INV000250	site02
baseline_year_1_arm_1	NDAR_INV000251	site01
baseline_year_1_arm_1	NDAR_INV000252	site01
baseline_year_1_arm_1	NDAR_INV000253	site01
baseline_year_1_arm_1	NDAR_INV000254	site03
baseline_year_1_arm_1	NDAR_INV000255	site02
baseline_year_1_arm_1	NDAR_INV000256	site03
baseline_year_1_arm_1	NDAR_INV000257	site03
baseline_year_1_arm_1	NDAR_INV000258	site03
baseline_year_1_arm_1	NDAR_INV000259	site03
baseline_year_1_arm_1	NDAR_INV000260	site01
baseline_year_1_arm_1	NDAR_INV000261	site01
baseline_year_1_arm_1	NDAR_INV000262	site02
baseline_year_1_arm_1	NDAR_INV000263	site02
baseline_year_1_arm_1	NDAR_INV000264	site01
baseline_year_1_arm_1	NDAR_INV000265	site03
baseline_year_1_arm_1	NDAR_INV000266	site01
baseline_year_1_arm_1	NDAR_INV000267	site02
baseline_year_1_arm_1	NDAR_INV000268	site03
baseline_year_1_arm_1	NDAR_INV000269	site03
baseline_year_1_arm_1	NDAR_INV000270	site02
baseline_year_1_arm_1	NDAR_INV000271	site03
baseline_year_1_arm_1	NDAR_INV000272	site02
baseline_year_1_arm_1	NDAR_INV000273	site01
baseline_year_1_arm_1	NDAR_INV000274	site03
baseline_year_1_arm_1	NDAR_INV000275	site01
baseline_year_1_arm_1	NDAR_INV000276	site03
baseline_year_1_arm_1	NDAR_INV000277	site01
baseline_year_1_arm_1	NDAR_INV000278	site02
baseline_year_1_arm_1	NDAR_INV000279	site01
baseline_year_1_arm_1	NDAR_INV000280	site01
baseline_year_1_arm_1	NDAR_INV000281	site01
baseline_year_1_arm_1	NDAR_INV000282	site03
baseline_year_1_arm_1	NDAR_INV000283	site02
baseline_year_1_arm_1	NDAR_INV000284	site01
baseline_year_1_arm_1	NDAR_INV000285	site03
baseline_year_1_arm_1	NDAR_INV000286	site01
baseline_year_1_arm_1	NDAR_INV000287	site03
baseline_year_1_arm_1	NDAR_INV000288	site02
baseline_year_1_arm_1	NDAR_INV000289	site03
baseline_year_1_arm_1	NDAR_INV000290	site01
baseline_year_1_arm_1	NDAR_INV000291	site03
baseline_year_1_arm_1	NDAR_INV000292	site03
baseline_year_1_arm_1	NDAR_INV000293	site02
baseline_year_1_arm_1	NDAR_INV000294	site02
baseline_year_1_arm_1	NDAR_INV000295	site02
baseline_year_1_arm_1	NDAR_INV000296	site02
baseline_year_1_arm_1	NDAR_INV000297	site03
baseline_year_1_arm_1	NDAR_INV000298	site01
baseline_year_1_arm_1	NDAR_INV000299	site03
baseline_year_1_arm_1	NDAR_INV000300	site03
baseline_year_1_arm_1	NDAR_INV000301	site03
baseline_year_1_arm_1	NDAR_INV000302	site01
baseline_year_1_arm_1	NDAR_INV000303	site01
baseline_year_1_arm_1	NDAR_INV000304	site01
baseline_year_1_arm_1	NDAR_INV000305	site02
baseline_year_1_arm_1	NDAR_INV000306	site03
baseline_year_1_arm_1	NDAR_INV000307	site02
baseline_year_1_arm_1	NDAR_INV000308	site03
baseline_year_1_arm_1	NDAR_INV000309	site03
baseline_year_1_arm_1	NDAR_INV000310	site03
baseline_year_1_arm_1	NDAR_INV000311	site01
baseline_year_1_arm_1	NDAR_INV000312	site02
baseline_year_1_arm_1	NDAR_INV000313	site01
baseline_year_1_arm_1	NDAR_INV000314	site02
baseline_year_1_arm_1	NDAR_INV000315	site01
baseline_year_1_arm_1	NDAR_INV000316	site02
baseline_year_1_arm_1	NDAR_INV000317	site01
baseline_year_1_arm_1	NDAR_INV000318	site02
baseline_year_1_arm_1	NDAR_INV000319	site03
baseline_year_1_arm_1	NDAR_INV000320	site03
baseline_year_1_arm_1	NDAR_INV000321	site03
baseline_year_1_arm_1	NDAR_INV000322	site01
baseline_year_1_arm_1	NDAR_INV000323	site03
baseline_year_1_arm_1	NDAR_INV000324	site01
baseline_year_1_arm_1	NDAR_INV000325	site03
baseline_year_1_arm_1	NDAR_INV000326	site01
baseline_year_1_arm_1	NDAR_INV000327	site03
baseline_year_1_arm_1	NDAR_INV000328	site03
baseline_year_1_arm_1	NDAR_INV000329	site03
baseline_year_1_arm_1	NDAR_INV000330	site02
baseline_year_1_arm_1	NDAR_INV000331	site01
baseline_year_1_arm_1	NDAR_INV000332	site01
baseline_year_1_arm_1	NDAR_INV000333	site03
baseline_year_1_arm_1	NDAR_INV000334	site02
baseline_year_1_arm_1	NDAR_INV000335	site02
baseline_year_1_arm_1	NDAR_INV000336	site03
baseline_year_1_arm_1	NDAR_INV000337	site02
baseline_year_1_arm_1	NDAR_INV000338	site02
baseline_year_1_arm_1	NDAR_INV000339	site01
baseline_year_1_arm_1	NDAR_INV000340	site01
baseline_year_1_arm_1	NDAR_INV000341	site01
baseline_year_1_arm_1	NDAR_INV000342	site02
baseline_year_1_arm_1	NDAR_INV000343	site03
baseline_year_1_arm_1	NDAR_INV000344	site03
baseline_year_1_arm_1	NDAR_INV000345	site02
baseline_year_1_arm_1	NDAR_INV000346	site01
baseline_year_1_arm_1	NDAR_INV000347	site02
baseline_year_1_arm_1	NDAR_INV000348	site01
baseline_year_1_arm_1	NDAR_INV000349	site02
baseline_year_1_arm_1	NDAR_INV000350	site01
baseline_year_1_arm_1	NDAR_INV000351	site01
baseline_year_1_arm_1	NDAR_INV000352	site01
baseline_year_1_arm_1	NDAR_INV000353	site02
baseline_year_1_arm_1	NDAR_INV000354	site03
baseline_year_1_arm_1	NDAR_INV000355	site03
baseline_year_1_arm_1	NDAR_INV000356	site03
baseline_year_1_arm_1	NDAR_INV000357	site02
baseline_year_1_arm_1	NDAR_INV000358	site02
baseline_year_1_arm_1	NDAR_INV000359	site02
baseline_year_1_arm_1	NDAR_INV000360	site03
baseline_year_1_arm_1	NDAR_INV000361	site02
baseline_year_1_arm_1	NDAR_INV000362	site03
baseline_year_1_arm_1	NDAR_INV000363	site03
baseline_year_1_arm_1	NDAR_INV000364	site01
baseline_year_1_arm_1	NDAR_INV000365	site02
baseline_year_1_arm_1	NDAR_INV000366	site02
baseline_year_1_arm_1	NDAR_INV000367	site02
baseline_year_1_arm_1	NDAR_INV000368	site01
baseline_year_1_arm_1	NDAR_INV000369	site01
baseline_year_1_arm_1	NDAR_INV000370	site01
baseline_year_1_arm_1	NDAR_INV000371	site03
baseline_year_1_arm_1	NDAR_INV000372	site02
baseline_year_1_arm_1	NDAR_INV000373	site03
baseline_year_1_arm_1	NDAR_INV000374	site02
baseline_year_1_arm_1	NDAR_INV000375	site01
baseline_year_1_arm_1	NDAR_INV000376	site03
baseline_year_1_arm_1	NDAR_INV000377	site02
baseline_year_1_arm_1	NDAR_INV000378	site02
baseline_year_1_arm_1	NDAR_INV000379	site02
baseline_year_1_arm_1	NDAR_INV000380	site03
baseline_year_1_arm_1	NDAR_INV000381	site03
baseline_year_1_arm_1	NDAR_INV000382	site03
baseline_year_1_arm_1	NDAR_INV000383	site03
baseline_year_1_arm_1	NDAR_INV000384	site01
baseline_year_1_arm_1	NDAR_INV000385	site03
baseline_year_1_arm_1	NDAR_INV000386	site03
baseline_year_1_arm_1	NDAR_INV000387	site01
baseline_year_1_arm_1	NDAR_INV000388	site02
baseline_year_1_arm_1	NDAR_INV000389	site02
baseline_year_1_arm_1	NDAR_INV000390	site03
baseline_year_1_arm_1	NDAR_INV000391	site01
baseline_year_1_arm_1	NDAR_INV000392	site03
baseline_year_1_arm_1	NDAR_INV000393	site02
baseline_year_1_arm_1	NDAR_INV000394	site01
baseline_year_1_arm_1	NDAR_INV000395	site02
baseline_year_1_arm_1	NDAR_INV000396	site01
baseline_year_1_arm_1	NDAR_INV000397	site02
baseline_year_1_arm_1	NDAR_INV000398	site03
baseline_year_1_arm_1	NDAR_INV000399	site01
baseline_year_1_arm_1	NDAR_INV000400	site03
baseline_year_1_arm_1	NDAR_INV000401	site01
baseline_year_1_arm_1	NDAR_INV000402	site02
baseline_year_1_arm_1	NDAR_INV000403	site03
baseline_year_1_arm_1	NDAR_INV000404	site01
baseline_year_1_arm_1	NDAR_INV000405	site01
baseline_year_1_arm_1	NDAR_INV000406	site03
baseline_year_1_arm_1	NDAR_INV000407	site03
baseline_year_1_arm_1	NDAR_INV000408	site01
baseline_year_1_arm_1	NDAR_INV000409	site01
baseline_year_1_arm_1	NDAR_INV000410	site02
baseline_year_1_arm_1	NDAR_INV000411	site03
baseline_year_1_arm_1	NDAR_INV000412	site03
baseline_year_1_arm_1	NDAR_INV000413	site03
baseline_year_1_arm_1	NDAR_INV000414	site01
baseline_year_1_arm_1	NDAR_INV000415	site02
baseline_year_1_arm_1	NDAR_INV000416	site02
baseline_year_1_arm_1	NDAR_INV000417	site03
baseline_year_1_arm_1	NDAR_INV000418	site01
baseline_year_1_arm_1	NDAR_INV000419	site01
baseline_year_1_arm_1	NDAR_INV000420	site01
baseline_year_1_arm_1	NDAR_INV000421	site01
baseline_year_1_arm_1	NDAR_INV000422	site03
baseline_year_1_arm_1	NDAR_INV000423	site01
baseline_year_1_arm_1	NDAR_INV000424	site01
baseline_year_1_arm_1	NDAR_INV000425	site01
baseline_year_1_arm_1	NDAR_INV000426	site01
baseline_year_1_arm_1	NDAR_INV000427	site03
baseline_year_1_arm_1	NDAR_INV000428	site02
baseline_year_1_arm_1	NDAR_INV000429	site02
baseline_year_1_arm_1	NDAR_INV000430	site03
baseline_year_1_arm_1	NDAR_INV000431	site03
baseline_year_1_arm_1	NDAR_INV000432	site02
baseline_year_1_arm_1	NDAR_INV000433	site01
baseline_year_1_arm_1	NDAR_INV000434	site02
baseline_year_1_arm_1	NDAR_INV000435	site01
baseline_year_1_arm_1	NDAR_INV000436	site02
baseline_year_1_arm_1	NDAR_INV000437	site02
baseline_year_1_arm_1	NDAR_INV000438	site03
baseline_year_1_arm_1	NDAR_INV000439	site01
baseline_year_1_arm_1	NDAR_INV000440	site01
baseline_year_1_arm_1	NDAR_INV000441	site02
baseline_year_1_arm_1	NDAR_INV000442	site03
baseline_year_1_arm_1	NDAR_INV000443	site02
baseline_year_1_arm_1	NDAR_INV000444	site02
baseline_year_1_arm_1	NDAR_INV000445	site02
baseline_year_1_arm_1	NDAR_INV000446	site03
baseline_year_1_arm_1	NDAR_INV000447	site02
baseline_year_1_arm_1	NDAR_INV000448	site01
baseline_year_1_arm_1	NDAR_INV000449	site01
baseline_year_1_arm_1	NDAR_INV000450	site01
baseline_year_1_arm_1	NDAR_INV000451	site02
baseline_year_1_arm_1	NDAR_INV000452	site02
baseline_year_1_arm_1	NDAR_INV000453	site02
baseline_year_1_arm_1	NDAR_INV000454	site02
baseline_year_1_arm_1	NDAR_INV000455	site02
baseline_year_1_arm_1	NDAR_INV000456	site03
baseline_year_1_arm_1	NDAR_INV000457	site01
baseline_year_1_arm_1	NDAR_INV000458	site01
baseline_year_1_arm_1	NDAR_INV000459	site02
baseline_year_1_arm_1	NDAR_INV000460	site03
baseline_year_1_arm_1	NDAR_INV000461	site03
baseline_year_1_arm_1	NDAR_INV000462	site01
baseline_year_1_arm_1	NDAR_INV000463	site01
baseline_year_1_arm_1	NDAR_INV000464	site03
baseline_year_1_arm_1	NDAR_INV000465	site01
baseline_year_1_arm_1	NDAR_INV000466	site02
baseline_year_1_arm_1	NDAR_INV000467	site02
baseline_year_1_arm_1	NDAR_INV000468	site01
baseline_year_1_arm_1	NDAR_INV000469	site01
baseline_year_1_arm_1	NDAR_INV000470	site01
baseline_year_1_arm_1	NDAR_INV000471	site03
baseline_year_1_arm_1	NDAR_INV000472	site02
baseline_year_1_arm_1	NDAR_INV000473	site02
baseline_year_1_arm_1	NDAR_INV000474	site03
baseline_year_1_arm_1	NDAR_INV000475	site02
baseline_year_1_arm_1	NDAR_INV000476	site03
baseline_year_1_arm_1	NDAR_INV000477	site03
baseline_year_1_arm_1	NDAR_INV000478	site02
baseline_year_1_arm_1	NDAR_INV000479	site03
baseline_year_1_arm_1	NDAR_INV000480	site01
baseline_year_1_arm_1	NDAR_INV000481	site01
baseline_year_1_arm_1	NDAR_INV000482	site02
baseline_year_1_arm_1	NDAR_INV000483	site02
baseline_year_1_arm_1	NDAR_INV000484	site03
baseline_year_1_arm_1	NDAR_INV000485	site03
baseline_year_1_arm_1	NDAR_INV000486	site02
baseline_year_1_arm_1	NDAR_INV000487	site01
baseline_year_1_arm_1	NDAR_INV000488	site01
baseline_year_1_arm_1	NDAR_INV000489	site01
baseline_year_1_arm_1	NDAR_INV000490	site01
baseline_year_1_arm_1	NDAR_INV000491	site02
baseline_year_1_arm_1	NDAR_INV000492	site01
baseline_year_1_arm_1	NDAR_INV000493	site01
baseline_year_1_arm_1	NDAR_INV000494	site03
baseline_year_1_arm_1	NDAR_INV000495	site02
baseline_year_1_arm_1	NDAR_INV000496	site03
baseline_year_1_arm_1	NDAR_INV000497	site03
baseline_year_1_arm_1	NDAR_INV000498	site02
baseline_year_1_arm_1	NDAR_INV000499	site03
baseline_year_1_arm_1	NDAR_INV000500	site02
baseline_year_1_arm_1	NDAR_INV000501	site03
baseline_year_1_arm_1	NDAR_INV000502	site03
baseline_year_1_arm_1	NDAR_INV000503	site03
baseline_year_1_arm_1	NDAR_INV000504	site01
baseline_year_1_arm_1	NDAR_INV000505	site01
baseline_year_1_arm_1	NDAR_INV000506	site03
baseline_year_1_arm_1	NDAR_INV000507	site03
baseline_year_1_arm_1	NDAR_INV000508	site03
baseline_year_1_arm_1	NDAR_INV000509	site01
baseline_year_1_arm_1	NDAR_INV000510	site01
baseline_year_1_arm_1	NDAR_INV000511	site01
baseline_year_1_arm_1	NDAR_INV000512	site01
baseline_year_1_arm_1	NDAR_INV000513	site03
baseline_year_1_arm_1	NDAR_INV000514	site02
baseline_year_1_arm_1	NDAR_INV000515	site02
baseline_year_1_arm_1	NDAR_INV000516	site01
baseline_year_1_arm_1	NDAR_INV000517	site01
baseline_year_1_arm_1	NDAR_INV000518	site02
baseline_year_1_arm_1	NDAR_INV000519	site03
baseline_year_1_arm_1	NDAR_INV000520	site03
baseline_year_1_arm_1	NDAR_INV000521	site01
baseline_year_1_arm_1	NDAR_INV000522	site03
baseline_year_1_arm_1	NDAR_INV000523	site01
baseline_year_1_arm_1	NDAR_INV000524	site03
baseline_year_1_arm_1	NDAR_INV000525	site01
baseline_year_1_arm_1	NDAR_INV000526	site01
baseline_year_1_arm_1	NDAR_INV000527	site02
baseline_year_1_arm_1	NDAR_INV000528	site03
baseline_year_1_arm_1	NDAR_INV000529	site02
baseline_year_1_arm_1	NDAR_INV000530	site02
baseline_year_1_arm_1	NDAR_INV000531	site01
baseline_year_1_arm_1	NDAR_INV000532	site03
baseline_year_1_arm_1	NDAR_INV000533	site01
baseline_year_1_arm_1	NDAR_INV000534	site01
baseline_year_1_arm_1	NDAR_INV000535	site02
baseline_year_1_arm_1	NDAR_INV000536	site01
